Tensao (V),Erro instrumental (V),Corrente media (A),Desvio padrao (A),Ruido como erro (A),Corrente com ruido descontado (A),Erro propagado (media e ruido) (A)
0.3,0.025,0.044024767000000006,0.0004563320514481618,3.3233604000000004e-05,0.043991533396,0.0004563330395389862
0.35,0.025,0.04815314,0.0004924511101734977,3.3847948e-05,0.048119292051999996,0.0004924522255114155
0.4,0.025,0.05224507199999999,0.0005307221433480992,3.3974690000000005e-05,0.05221109730999999,0.0005307224572995755
0.45,0.025,0.05628801600000001,0.0005693430249604465,3.432895e-05,0.05625368705000001,0.0005693440453735897
0.5,0.025,0.060289101,0.0006056324139176984,3.4812382e-05,0.060254288617999995,0.0006056336126103973
0.55,0.025,0.064229141,0.0006379396113086784,3.5734409999999995e-05,0.06419340659,0.0006379406647502252
0.6,0.025,0.06811703,0.0006734502123641607,3.6202898e-05,0.06808082710199999,0.0006734528604553048
0.65,0.025,0.071952724,0.0007103698372475521,3.6896430000000003e-05,0.07191582757,0.0007103730663706692
0.7,0.025,0.075732928,0.0007469880962282246,3.79452e-05,0.0756949828,0.0007469900139357525
0.75,0.025,0.07944367599999999,0.000776588663381933,3.9042264e-05,0.07940463373599999,0.0007765891187514901
0.8,0.025,0.08306838999999999,0.0008071524316041196,3.9845128e-05,0.083028544872,0.0008071530474000717
0.85,0.025,0.08661048499999999,0.0008424960663310767,3.9730901999999995e-05,0.08657075409799998,0.0008425010567571045
0.9,0.025,0.090063826,0.000873065343121579,4.030235999999999e-05,0.09002352364,0.0008730720861852571
0.95,0.025,0.093421164,0.0009037522307358377,4.1582556000000004e-05,0.093379581444,0.0009037563679385322
1.0,0.025,0.09668097,0.0009314704088220485,4.2773754e-05,0.09663819624600001,0.0009314728284016485
1.05,0.025,0.099847281,0.0009600584843117072,4.3521217999999995e-05,0.099803759782,0.0009600600542928335
1.1,0.025,0.1029248,0.000989003089535675,4.3984563999999994e-05,0.102880815436,0.0009890041808442297
1.15,0.025,0.10591159000000001,0.0010116822804396414,4.490192e-05,0.10586668808000001,0.001011683049240449
1.2,0.025,0.10879762,0.0010362004565827119,4.58509e-05,0.10875176909999999,0.0010362018565496535
1.25,0.025,0.11158629000000002,0.0010589019652975948,4.637479e-05,0.11153991521000002,0.0010589026929854791
1.3,0.025,0.11426814,0.0010814375712191826,4.6926893999999996e-05,0.114221213106,0.0010814383727815917
1.35,0.025,0.11684941000000001,0.0011005618801826253,4.7473593999999996e-05,0.11680193640600002,0.0011005631788921007
1.4,0.025,0.11931437999999998,0.0011196315840489668,4.8180372e-05,0.11926619962799999,0.001119634102213546
1.45,0.025,0.12167184,0.0011399908695540794,4.9622833999999995e-05,0.12162221716600001,0.0011399916630872445
1.5,0.025,0.12392575000000002,0.0011600311808548773,5.0816510000000005e-05,0.12387493349000002,0.0011600314308334379
1.55,0.025,0.12606436000000001,0.001179354842652916,5.193246e-05,0.12601242754000003,0.0011793552982078922
1.6,0.025,0.12809082,0.0011954887366912123,5.3098626000000005e-05,0.128037721374,0.0011954897332245274
